resolver_ip	country	certinfo	verification
199.58.81.218	CA	CN=dns.cmrg.net	"ok"
207.148.89.110	JP	CN=*.cleanbrowsing.org	"ok"
76.76.0.137	US	CN=*.cleanbrowsing.org	"ok"
76.76.1.89	US	CN=*.cleanbrowsing.org	"ok"
95.191.157.61	RU	CN=dns.google	"ok"
185.228.171.121	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.87	US	CN=*.cleanbrowsing.org	"ok"
76.76.0.41	US	CN=*.cleanbrowsing.org	"ok"
185.228.170.158	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.104	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.200	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.195	IE	CN=*.cleanbrowsing.org	"ok"
92.43.104.78	CH	CN=zurich1.perfect-privacy.com	"ok"
76.76.0.51	US	CN=*.cleanbrowsing.org	"ok"
101.101.101.101	AU	CN=101.101.101.101	"ok"
185.228.170.241	IE	CN=*.cleanbrowsing.org	"ok"
82.64.28.225	FR	CN=adblock.aimixess.fr	"ok"
76.76.0.113	US	CN=*.cleanbrowsing.org	"ok"
51.15.70.29	FR	CN=securedns.zone	"ok"
76.76.0.177	US	CN=*.cleanbrowsing.org	"ok"
185.228.169.55	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.213	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.152	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.188	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.251	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.109	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.97	US	CN=*.cleanbrowsing.org	"ok"
76.76.1.211	US	CN=*.cleanbrowsing.org	"ok"
23.253.57.221	US	CN=noneuclideanconcepts.com	"unable to verify the first certificate"
76.76.0.233	US	CN=*.cleanbrowsing.org	"ok"
185.228.170.177	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.163	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.165	US	CN=*.cleanbrowsing.org	"ok"
76.76.1.84	US	CN=*.cleanbrowsing.org	"ok"
76.76.1.181	US	CN=*.cleanbrowsing.org	"ok"
185.228.170.226	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.81	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.250	US	CN=*.cleanbrowsing.org	"ok"
185.228.170.155	IE	CN=*.cleanbrowsing.org	"ok"
185.134.197.54	CH	CN=rdns.faelix.net	"ok"
185.228.170.84	IE	CN=*.cleanbrowsing.org	"ok"
185.83.4.53	EE	CN=dot.tld.ee	"certificate has expired"
192.162.100.240	RU	CN=moscow1.perfect-privacy.com	"ok"
1.1.1.1 AU  CN=cloudflare-dns.com   "ok"
185.228.169.95	IE	CN=*.cleanbrowsing.org	"ok"
119.29.107.85	CN	CN=*.233py.com	"ok"
76.76.0.68	US	CN=*.cleanbrowsing.org	"ok"
76.76.0.94	US	CN=yeti-resolver.ripn.net	"ok"
194.226.65.220	RU	CN=yeti-resolver.ripn.net	"unable to verify the first certificate"
76.76.1.151	US	CN=*.cleanbrowsing.org	"ok"
