resolver_ip	country	certinfo	verification
45.90.30.73		CN=nextdns.io	"ok"
3.13.156.71	US	CN=dns.parkr.io	"ok"
210.138.123.79	GB	CN=*.dns.iij.jp	"ok"
45.90.30.231		CN=nextdns.io	"ok"
45.90.30.37		CN=nextdns.io	"ok"
45.90.30.199		CN=nextdns.io	"ok"
5.182.208.243		CN=*.cleanbrowsing.org	"ok"
76.76.1.16	US	CN=*.cleanbrowsing.org	"ok"
76.76.1.151	US	CN=*.cleanbrowsing.org	"ok"
34.83.122.225	US	CN=*.cleanbrowsing.org	"ok"
76.76.1.66	US	CN=*.cleanbrowsing.org	"ok"
130.226.161.34	DK	CN=deic-ore.anycast.censurfridns.dk	"ok"
45.90.29.134		CN=dns.google	"ok"
8.8.4.4	US	CN=dns.google	"ok"
45.90.28.150		CN=nextdns.io	"ok"
45.90.28.77		CN=nextdns.io	"ok"
45.90.28.24		CN=nextdns.io	"ok"
45.90.29.106		CN=nextdns.io	"ok"
86.124.157.8	RO	CN=nextdns.io	"ok"
45.90.28.195		-	"ok"
45.90.29.226		-	"ok"
130.185.251.74	GB	CN=orange.kroko.ro	"ok"
45.90.28.14		CN=orange.kroko.ro	"ok"
5.2.130.84	RO	CN=orange.kroko.ro	"ok"
45.90.28.70		CN=nextdns.io	"ok"
45.90.29.71		CN=nextdns.io	"ok"
45.90.28.179		CN=nextdns.io	"ok"
45.90.28.130		CN=nextdns.io	"ok"
45.90.29.98		CN=nextdns.io	"ok"
91.112.4.90	AT	CN=FWF60ETK18008157/emailAddress=support@fortinet.com	"self signed certificate in certificate chain"
85.114.145.121	DE	CN=ernie2.cpp-tools.de	"certificate has expired"
203.180.146.219	JP	CN=*.dns.iij.jp	"ok"
45.90.31.184		CN=nextdns.io	"ok"
45.90.31.173		CN=nextdns.io	"ok"
45.90.30.13		CN=nextdns.io	"ok"
45.90.31.64		CN=nextdns.io	"ok"
45.90.31.4		CN=*.kodama.moe	"ok"
5.182.208.240		CN=*.kodama.moe	"ok"
84.39.112.138	CH	CN=*.kodama.moe	"ok"
185.40.235.61		CN=dns1.dnsfilter.com	"ok"
98.221.197.87	US	CN=privatedns.akazn.com	"ok"
210.138.123.78	GB	CN=nextdns.io	"ok"
45.90.28.122		CN=nextdns.io	"ok"
45.90.29.9		CN=nextdns.io	"ok"
45.90.29.240		CN=nextdns.io	"ok"
45.90.31.181		CN=nextdns.io	"ok"
45.90.29.113		CN=nextdns.io	"ok"
209.124.64.140	US	CN=dougroyer.us	"ok"
76.76.1.221	US	CN=*.cleanbrowsing.org	"ok"
45.90.28.148		CN=nextdns.io	"ok"
45.90.28.178		CN=nextdns.io	"ok"
89.234.186.112	FR	CN=dns.neutopia.org	"ok"
192.109.42.42	DE	CN=cloudflare-dns.com	"ok"
176.213.51.40	RU	CN=cloudflare-dns.com	"ok"
45.90.29.230		CN=nextdns.io	"ok"
45.90.28.229		CN=nextdns.io	"ok"
45.90.28.63		CN=nextdns.io	"ok"
46.72.61.4	RU	CN=dns.google	"ok"
176.63.155.68	HU	CN=hl.dip.fodor.it	"ok"
187.37.11.197	BR	CN=dns.google	"ok"
76.76.0.37	US	CN=*.cleanbrowsing.org	"ok"
45.90.28.125		CN=nextdns.io	"ok"
31.31.151.16	BE	CN=FG5H0E5818906781/emailAddress=support@fortinet.com	"self signed certificate in certificate chain"
35.233.161.97	US	CN=dns2.clayauld.com	"ok"
45.90.28.32		CN=nextdns.io	"ok"
45.90.31.23		CN=nextdns.io	"ok"
76.76.1.119	US	CN=*.cleanbrowsing.org	"ok"
45.90.30.100		CN=nextdns.io	"ok"
76.76.1.84	US	CN=*.cleanbrowsing.org	"ok"
